Dataset,Technique,Variation,Test Loss,Top Features,Execution Time (Seconds)
static/Dataset/DMC2_S_CP2.csv,LIME LSTM with correlation,With Correlation,0.003991967998,"LOAD|6, TORQUE|1, LOAD|3, LOAD|1, TORQUE|6, TORQUE_FFW|2, TORQUE_FFW|3, TORQUE_FFW|6, CTRL_DIFF|6, CONT_DEV|6",626.3790741
static/Dataset/DMC2_S_CP2.csv,LIME RF with correlation,With Correlation,0.01927627998,"TORQUE|1, LOAD|6, LOAD|1, LOAD|3, TORQUE|6, TORQUE_FFW|2, TORQUE_FFW|3, TORQUE_FFW|6, CTRL_DIFF|6, CONT_DEV|6",874.6973014
static/Dataset/DMC2_S_CP2.csv,LIME XGB with correlation,With Correlation,0.009836612289,"TORQUE|1, LOAD|1, LOAD|3, LOAD|6, TORQUE|6, TORQUE_FFW|2, TORQUE_FFW|3, TORQUE_FFW|6, CTRL_DIFF|6, CONT_DEV|6",522.3013511
static/Dataset/DMC2_S_CP2.csv,LIME LSTM without correlation,Without Correlation,0.3816494048,"VEL_FFW|3, TORQUE|1, CMD_SPEED|1, LOAD|1, VEL_FFW|1, ENC1_POS|2, ENC_POS|2, DES_POS|2, CTRL_POS|2, LOAD|6",2573.38464
static/Dataset/DMC2_S_CP2.csv,LIME RF without correlation,Without Correlation,0.1096234889,"TORQUE|1, VEL_FFW|3, CTRL_POS|3, DES_POS|3, CONT_DEV|2, TORQUE|2, TORQUE|6, CTRL_DIFF2|1, DES_POS|2, TORQUE|3",1948.767946
static/Dataset/DMC2_S_CP2.csv,LIME XGB without correlation,Without Correlation,0.05563051089,"TORQUE|1, VEL_FFW|3, CMD_SPEED|1, LOAD|1, CTRL_POS|6, CTRL_DIFF|1, ENC1_POS|6, ENC1_POS|1, CTRL_POS|3, ENC_POS|2",1278.15799
static/Dataset/DMC2_AL_CP1.csv,LIME LSTM with correlation,With Correlation,0.004234210588,"LOAD|3, LOAD|1, LOAD|6, CTRL_DIFF2|6, TORQUE|2, TORQUE|3, TORQUE|1, LOAD|2, TORQUE|6, TORQUE_FFW|1",3348.590068
static/Dataset/DMC2_AL_CP1.csv,LIME RF with correlation,With Correlation,0.007695599713,"TORQUE|1, TORQUE|2, TORQUE|3, TORQUE|6, LOAD|6, CTRL_DIFF2|6, LOAD|3, LOAD|1, LOAD|2, TORQUE_FFW|1",1791.030148
static/Dataset/DMC2_AL_CP1.csv,LIME XGB with correlation,With Correlation,0.00415777468,"TORQUE|1, CTRL_DIFF2|6, TORQUE|2, LOAD|6, LOAD|3, TORQUE|6, LOAD|2, TORQUE|3, LOAD|1, TORQUE_FFW|1",5153.186908
static/Dataset/DMC2_AL_CP1.csv,LIME LSTM without correlation,Without Correlation,0.516851306,"VEL_FFW|3, VEL_FFW|1, CONT_DEV|1, CTRL_DIFF|1, CTRL_DIFF2|3, CTRL_DIFF|3, CTRL_DIFF2|1, CONT_DEV|2, CTRL_DIFF|2, CMD_SPEED|1",7545.745203
static/Dataset/DMC2_AL_CP1.csv,LIME RF without correlation,Without Correlation,0.1287357448,"TORQUE|1, VEL_FFW|3, VEL_FFW|2, ENC_POS|3, TORQUE|2, CTRL_DIFF2|3, LOAD|1, CTRL_POS|1, CTRL_DIFF|3, CTRL_DIFF2|2",7589.813736
static/Dataset/DMC2_AL_CP1.csv,LIME XGB without correlation,Without Correlation,0.1100690664,"VEL_FFW|3, TORQUE|1, CTRL_DIFF2|1, CONT_DEV|6, CTRL_DIFF|1, CTRL_DIFF2|3, CMD_SPEED|1, VEL_FFW|1, ENC_POS|3, ENC_POS|6",6171.109504
static/Dataset/DMC2_AL_CP2.csv,LIME LSTM with correlation,With Correlation,0.00208217185,"LOAD|3, LOAD|6, TORQUE|1, TORQUE|6, LOAD|1, CTRL_DIFF2|6, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",633.4497347
static/Dataset/DMC2_AL_CP2.csv,LIME RF with correlation,With Correlation,0.01227479411,"TORQUE|1, TORQUE|6, CTRL_DIFF2|6, LOAD|3, LOAD|1, LOAD|6, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",607.1323664
static/Dataset/DMC2_AL_CP2.csv,LIME XGB with correlation,With Correlation,0.005954346094,"TORQUE|1, TORQUE|6, CTRL_DIFF2|6, LOAD|6, LOAD|3, LOAD|1, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",526.8994517
static/Dataset/DMC2_AL_CP2.csv,LIME LSTM without correlation,Without Correlation,0.3768948317,"VEL_FFW|3, TORQUE|1, VEL_FFW|1, DES_POS|3, ENC_POS|3, CTRL_POS|3, CMD_SPEED|1, CTRL_POS|2, CMD_SPEED|2, ENC1_POS|2",2029.89918
static/Dataset/DMC2_AL_CP2.csv,LIME RF without correlation,Without Correlation,0.08946378967,"TORQUE|1, TORQUE|2, CMD_SPEED|2, LOAD|2, CONT_DEV|2, CTRL_DIFF2|3, CTRL_POS|3, CTRL_DIFF2|1, DES_POS|2, ENC1_POS|1",1511.316275
static/Dataset/DMC2_AL_CP2.csv,LIME XGB without correlation,Without Correlation,0.05343851754,"TORQUE|1, VEL_FFW|3, DES_POS|3, VEL_FFW|2, LOAD|2, TORQUE|2, CTRL_POS|3, DES_POS|1, CMD_SPEED|1, CTRL_POS|1",1564.506634
static/Dataset/DMC2_S_CP1.csv,LIME LSTM with correlation,With Correlation,0.001760581043,"LOAD|3, CTRL_DIFF2|6, TORQUE|1, TORQUE|3, LOAD|1, TORQUE|2, TORQUE|6, LOAD|6, LOAD|2, TORQUE_FFW|6",4764.351393
static/Dataset/DMC2_S_CP1.csv,LIME RF with correlation,With Correlation,0.0122427263,"TORQUE|2, TORQUE|1, LOAD|6, TORQUE|3, CTRL_DIFF2|6, TORQUE|6, LOAD|1, LOAD|3, LOAD|2, TORQUE_FFW|6",5171.401519
static/Dataset/DMC2_S_CP1.csv,LIME XGB with correlation,With Correlation,0.003859756118,"TORQUE|1, LOAD|6, TORQUE|6, LOAD|2, TORQUE|2, CTRL_DIFF2|6, LOAD|3, TORQUE|3, LOAD|1, TORQUE_FFW|6",4352.768506
static/Dataset/DMC2_S_CP1.csv,LIME LSTM without correlation,Without Correlation,0.4287038743,"VEL_FFW|3, VEL_FFW|1, TORQUE|3, CMD_SPEED|1, LOAD|3, TORQUE|1, ENC_POS|1, VEL_FFW|6, LOAD|1, VEL_FFW|2",9951.796142
static/Dataset/DMC2_S_CP1.csv,LIME RF without correlation,Without Correlation,0.136139144,"TORQUE|1, VEL_FFW|3, CONT_DEV|2, CONT_DEV|6, CTRL_POS|6, CTRL_DIFF2|6, TORQUE|3, CTRL_DIFF2|3, DES_POS|6, CTRL_POS|2",11744.56799
static/Dataset/DMC2_S_CP1.csv,LIME XGB without correlation,Without Correlation,0.08796499021,"TORQUE|1, CTRL_DIFF|6, VEL_FFW|3, DES_POS|2, LOAD|1, CTRL_DIFF2|3, CMD_SPEED|1, ENC1_POS|6, LOAD|3, TORQUE|3",10687.65456